,0
215,Hoping you will join us with as many people as you can. Let’s kill the plastic. Thanks:) #MumbaikiPlasticSurgery… https://t.co/qdOUDl5HJi
216,"Don’t be plastic. Be like Karam, the plastic murderer:)  Pull out your plastic and send it to us. We have only this… https://t.co/BpliDNtSC5"
217,RT @absolutelydanny: S02E05 of my podcast with guests @mymalishka and @SahilBulla is now live. We chat about the Aussie ball tampering scan…
218,#happyeaster May the love and peace of the Risen Lord be with us all. May we rise as a people to be the best version of ourselves.
219,Happy Easter too! What a day to rise to the occasion :) Thanks for having me on your podcast. Such fun.… https://t.co/vMFoczBghq
220,Woohoo! One of our first few plastic champs. Big shout out to you and Mom and thanks for doing this. #ShoutOut… https://t.co/3MzD8XX6DE
221,"The non-plastic straws in most clubs this weekend is such a sight for sore eyes!! Also Thankyou for the warm, on-sc… https://t.co/3jXzYgyPwo"
222,👍 DM is a number ? @malishkakeboys will sort this out. Thankyou:) #Mumbaikiplasticsurgery https://t.co/sgwRuJsBxq
223,"Say yeah if you Will be a part of #MumbaikiPlasticSurgery?Collect your plastic, tell your society walas,post a pic/… https://t.co/nBtwbgtFKI"
224,Yasmin who works in Finanace has started collecting plastic from her friends and colleagues to give it to me as I d… https://t.co/51RsXUASLw
225,Jai Jinendra. Happy Mahavir Jayanti.We are also going to church for Maundy Thursday this morning. Come tune in #morningno1 @RedFM_Mumbai
226,Thanks KLB 🤩😎 https://t.co/8rQDl5fzon
227,Now watching #BaaBaablacksheep braving all kinds of traffic on Malad😳At this hour to watch the one and only… https://t.co/oYdnTnYlzS
228,🙏🏽🌈🌈🌈❤️ https://t.co/liwo1X5yHK
229,"A new thing this morning on my show @RedFM_Mumbai.Very excited. #MumbaikiPlasticSurgery.Tum Mujhe plastic do,Main t… https://t.co/oYh9tUdmQH"
230,This is unbelievable ! I cringed just watching him do it!! To be caught like that knowing that there’s a yellow pie… https://t.co/Ak1KYStGu5
231,Just spoke to the Police at D.N Nagar about the missing girl Kirti Vyas. They say they are on it and would apprecia… https://t.co/MYp4XuZg2i
232,Yes I’m sure @RedFMIndia is :) Thankyou for your kind words. Helps us get out of bed each morning❤️❤️❤️ https://t.co/ur3nYxSBpF
233,Thankyou Aditi. That means a lot coming from you Power Woman :) Also your hair!🌈❤️ https://t.co/HbdtzIF0PQ
234,#AboutLastNight #theGamechangersofMaharashtra . Very honoured @EconomicTimes to be felicitated thus amongst some of… https://t.co/47y2Pk6z6S
235,"Such a lovely lil Sunday film is The original The Bucket List. Re-remembered the history of the Taj, the the way th… https://t.co/kguMcETUKZ"
236,Thanks Boyzes. #FullPower https://t.co/PNyPGnHea7
