,0
227,"So hence proved, @BeingSalmanKhan bhai jaan, please reduce weight and get into slim mode as per your fans demand 🙏🙏… https://t.co/cg2BkoSPFU"
228,#RACE3 might be making the moolah at the box office however i would ADVICE bhai fans that they MUST bash such movie… https://t.co/zhn6KJTGZD
229,"Who nation guys?? 
Only 4 people are sleeping with kejriwal not standing 😂😂#NationStandsWithKejriwal"
230,Tera handle tere thobde ko shobha deta hai. 😂 https://t.co/ibWSqPwIaa
231,RT @taran_adarsh: #Race3 hits the ball out of the park on Day 2 [Sat]... #Eid festivities give MASSIVE BOOST to its biz... Day 3 [Sun] shou…
232,"Happy  #FathersDay to all fathers and to be fathers. 

Father is the backbone of family. 
Be strong and give love"
233,"To all Chutiyas who say SRK using Salman for #Zero 
SRK is selling his film using salman bla bla 

Abe bosdko, they… https://t.co/nSHQj8YN4d"
234,RT @sidkannan: This is cutest bond of friendship!🤗 @iamsrk &amp; @BeingSalmanKhan celebrates #Eid2018 together with us! Cutest puppy to #Salman…
235,"Bhai ji, dilli kitni surakshit hai aapke hatho me sab ko pata hai. Pehele khud ka sambhalo baad me dusro ko gaali do https://t.co/3N2587uYMF"
236,"@ArvindKejriwal doing FULL TIME NAUTANKI than doing Full time chief ministership 🤪

Wow dilli walon kya namuna select kiya aapne"
237,"#Race3 collected STAGGERING 37 crores on Saturday. 

ZAKASS 🙏🙏"
238,"RT @Gupta_vijender: पिछले साढ़े चार महीने मे CM @ArvindKejriwal अपने दफ़्तर मे
फ़रवरी मे 1 दिन-19 
मार्च मे 9 दिन-1,3,6,8,13,21,23,26,28
अ…"
239,"Guys, Chill, 

If #Race3 is really bad then the collections in Saturday wouldnt have jumped to almost almost 40% de… https://t.co/JbaiSeJfnD"
240,RT @aarohi_vns: Hard-working              Hardly-working https://t.co/J415r4ItTk
241,RT @suhelseth: Moral of the story: never slap an IAS officer. Never. The LG is also a former IAS officer. If you have to hit an IAS officer…
242,"RT @ANI: My son has abided by his pledge, he has kept his promise. He sacrificed himself for the nation and came back to me. I request the…"
